Date,Close,High,Low,Open,Volume,Retorno_Diario,Ticker,DiasParaEleicaoBR,DiasParaEleicaoUSA,Petroleo_Brent,Petroleo_WTI,Alvo
2015-01-02,39.68173599243164,40.24182882049301,39.49504054124459,39.59687471800572,27913900,,MSFT,1395,676,56.41999816894531,52.689998626708984,-1.0
2015-01-05,39.316829681396484,39.65627801426781,39.248938072472164,39.35077224860855,39673900,-0.009195825281050007,MSFT,1392,673,53.11000061035156,50.040000915527344,-1.0
2015-01-06,38.739776611328125,39.673263878269296,38.64642723718378,39.35927317753471,36447900,-0.014676999003849112,MSFT,1391,672,51.099998474121094,47.93000030517578,-1.0
2015-01-07,39.23197937011719,39.42716296054548,38.60399794652203,39.01982287131453,29114100,0.012705358725407123,MSFT,1390,671,51.150001525878906,48.650001525878906,-1.0
2015-01-08,40.38610076904297,40.52188076357751,39.64779725108958,39.67325498842405,29645200,0.029417873312934884,MSFT,1389,670,50.959999084472656,48.790000915527344,-1.0
2015-01-09,40.04664993286133,40.58128508790158,39.800550913652756,40.40307444863832,23944200,-0.008405140127858979,MSFT,1388,669,50.11000061035156,48.36000061035156,-1.0
2015-01-12,39.545955657958984,40.34366587434169,39.34228730625495,40.241828461239585,23651900,-0.012502775531580412,MSFT,1385,666,47.43000030517578,46.06999969482422,-1.0
2015-01-13,39.342308044433594,40.65767790315307,39.087720851980116,39.85997050353169,35270600,-0.005149644511989515,MSFT,1384,665,46.59000015258789,45.88999938964844,-1.0
2015-01-14,39.00284194946289,39.24045938063213,38.71430904088285,39.00284194946289,29719600,-0.008628525163986489,MSFT,1383,664,48.689998626708984,48.47999954223633,-1.0
2015-01-15,38.59551239013672,39.35927713052425,38.536108825578964,39.22349709192774,32750800,-0.010443586645659364,MSFT,1382,663,47.66999816894531,46.25,-1.0
2015-01-16,39.24046325683594,39.274405832712475,38.33243056055651,38.45124090650261,35695300,0.0167105144292381,MSFT,1381,662,47.689998626708984,48.689998626708984,-1.0
2015-01-20,39.36775207519531,39.58839660575821,38.671879147575076,39.29137562034672,36161900,0.003243815383275228,MSFT,1377,658,47.9900016784668,46.38999938964844,-1.0
2015-01-21,38.968902587890625,39.1556013352916,38.59550833033981,38.98587549558627,39081100,-0.010131375714388158,MSFT,1376,657,49.029998779296875,47.779998779296875,-1.0
2015-01-22,39.9957275390625,40.004212371119095,39.10467125962379,39.35925830557058,35898000,0.026349855474014694,MSFT,1375,656,48.52000045776367,46.310001373291016,-1.0
2015-01-23,40.03815841674805,40.21636902626697,39.71567976339242,40.190911292692824,26211600,0.001060885256909172,MSFT,1374,655,48.790000915527344,45.59000015258789,-1.0
2015-01-26,39.89390182495117,39.99573926298135,39.240462735803995,39.88541699040743,42525500,-0.003602977696809617,MSFT,1371,652,48.15999984741211,45.150001525878906,-1.0
2015-01-27,36.20237350463867,36.66063217568163,35.73563000068763,36.44847574322658,169164000,-0.09253364929082164,MSFT,1370,651,49.599998474121094,46.22999954223633,1.0
2015-01-28,34.95489501953125,36.31269822179671,34.92943728182799,36.27026757987446,84507100,-0.03445847231391008,MSFT,1369,650,48.470001220703125,44.45000076293945,1.0
2015-01-29,35.650760650634766,35.744109986215605,34.615439601987724,34.73424667009068,63585300,0.019907530281944696,MSFT,1368,649,49.130001068115234,44.529998779296875,1.0
