horizonte_dias,alvo_retorno,total_venda,total_neutro,total_compra,EV_Compra,EV_Venda,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1
15,0.03,9785,1982,13093,0.004151365875503811,-0.007047184170471843,0.43216494845360826,0.38254693049213595,0.42146450531022916,0.40106382978723404,0.10990712074303406,0.15367965367965367,0.12815884476534295,0.5691894312583968,0.4890342439399769,0.5260761589403974,0.3517662778309914,0.44205866285712225
15,0.05,7274,7251,10335,-0.006884561891515997,-0.024776386404293388,0.35525773195876287,0.2522361359570662,0.24352331606217617,0.2478031634446397,0.35789014821272885,0.47594202898550725,0.40855934312017916,0.43115438108484005,0.315200813421454,0.3641703377386197,0.34017761476781283,0.352174017419189
15,0.07,4996,12459,7405,-0.02598579040852576,-0.048054054054054066,0.4624742268041237,0.15675675675675677,0.18238993710691823,0.1686046511627907,0.5941689008042895,0.618848167539267,0.6062574799110959,0.31438721136767317,0.26241660489251295,0.28606060606060607,0.35364091237816425,0.4598053599300169
15,0.1,2730,17835,4295,-0.06343347639484978,-0.09487179487179487,0.6113402061855671,0.02564102564102564,0.024193548387096774,0.024896265560165973,0.7957113880034773,0.7171585270305563,0.7543956043956044,0.18283261802575107,0.2755498059508409,0.21981424148606812,0.3330353704806128,0.6318910209811176
15,0.15,909,22267,1684,-0.13015748031496063,-0.15,0.8136082474226805,0.0,0.0,0.0,0.9366602687140115,0.8606701940035273,0.8970588235294118,0.06614173228346457,0.15613382899628253,0.09292035398230089,0.3299930591705709,0.8441349275774538
15,0.2,390,23698,772,-0.19615384615384618,-0.2,0.9439175257731959,0.0,0.0,0.0,0.9750745632722625,0.9678578980757031,0.9714528281863526,0.009615384615384616,0.008695652173913044,0.0091324200913242,0.32686174942589225,0.9474331242894359
15,0.25,187,24235,438,-0.25,-0.25,0.979381443298969,0.0,0.0,0.0,0.9865005192107996,0.9926854754440961,0.9895833333333334,0.0,0.0,0.0,0.3298611111111111,0.9763208762886598
15,0.3,83,24545,232,-0.3,-0.3,0.9898969072164948,0.0,0.0,0.0,0.9935844370860927,0.9962647852251505,0.994922805926847,0.0,0.0,0.0,0.331640935308949,0.9885635055178301
15,0.4,22,24776,62,-0.4,-0.4,0.9987628865979381,0.0,0.0,0.0,0.9987628865979381,1.0,0.9993810604497627,0.0,0.0,0.0,0.3331270201499209,0.9981447127461135
15,0.5,12,24819,29,-0.5,-0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0
30,0.03,10293,237,14180,0.00608877452557092,-0.0035408103347034647,0.5437759336099585,0.4409864944216089,0.37891019172552975,0.40759837177747626,0.0,0.0,0.0,0.601479575426182,0.669051878354204,0.6334688346883469,0.34702240215527436,0.5349388725761178
30,0.05,9077,2065,13568,0.004401473296500924,-0.017039473684210524,0.41970954356846474,0.32960526315789473,0.30679730557256585,0.31779257849666986,0.07692307692307693,0.08806262230919765,0.08211678832116788,0.5440147329650092,0.5519431988041853,0.5479502875162308,0.3159532181113562,0.42058753711838426
30,0.07,7329,5652,11729,-0.006597090449082854,-0.038508353221957045,0.316804979253112,0.2249403341288783,0.3424159854677566,0.2715160244868563,0.27767114523352526,0.3067137809187279,0.29147078576225655,0.45287792536369387,0.3107638888888889,0.3685971685971686,0.3105279929487605,0.32377970565591246
30,0.1,4914,11162,8634,-0.0325626204238921,-0.07421383647798743,0.4267634854771784,0.1289308176100629,0.14616755793226383,0.13700918964076858,0.5519604111153407,0.5482041587901701,0.5500758725341427,0.3371868978805395,0.3252788104089219,0.33112582781456956,0.3394036299964936,0.4286825569157664
30,0.15,2207,17850,4653,-0.11875664187035069,-0.14508196721311475,0.6261410788381743,0.01639344262295082,0.01910828025477707,0.01764705882352941,0.7892316017316018,0.7510298661174047,0.7696569920844327,0.10414452709883103,0.1258023106546855,0.11395348837209303,0.3004191797600184,0.6391884051728406
30,0.2,1064,21096,2550,-0.19022687609075045,-0.2,0.7894190871369294,0.0,0.0,0.0,0.8994068801897983,0.8651300775901415,0.8819355589159009,0.02443280977312391,0.03414634146341464,0.028484231943031537,0.30347326361964416,0.804215799640274
30,0.25,584,22696,1430,-0.236404833836858,-0.25,0.8873443983402489,0.0,0.0,0.0,0.952891270372851,0.9278260869565217,0.9401916510628924,0.027190332326283987,0.0410958904109589,0.03272727272727273,0.32430630793005505,0.8987653252316552
30,0.3,323,23493,894,-0.2976377952755906,-0.3,0.9141078838174274,0.0,0.0,0.0,0.9651621384750219,0.9452789699570815,0.9551170858629662,0.003937007874015748,0.00625,0.004830917874396135,0.3199826679124541,0.923572316801105
30,0.4,81,24201,428,-0.4,-0.4,0.9728215767634855,0.0,0.0,0.0,0.9791188139486323,0.9934322033898305,0.9862235776632664,0.0,0.0,0.0,0.32874119255442213,0.9657625075872651
30,0.5,27,24512,171,-0.5,-0.5,0.9925311203319502,0.0,0.0,0.0,0.9931492630267802,0.9993733026947984,0.9962515618492295,0.0,0.0,0.0,0.33208385394974316,0.9894307524008841
90,0.03,10040,0,14070,0.005188794153471378,-0.004872881355932203,0.5359574468085107,0.4187853107344633,0.30394669400307534,0.35224235224235223,0.0,0.0,0.0,0.5864799025578563,0.7006184066933431,0.6384883142715068,0.33024355550461965,0.5196657883313195
90,0.05,9500,35,14575,0.010878918254456048,-0.009197786998616876,0.5470212765957447,0.40802213001383125,0.31703385276732937,0.3568188690656184,0.0,0.0,0.0,0.6087891825445605,0.6987654320987654,0.6506815569058959,0.3358334753238381,0.533770665778581
90,0.07,8818,401,14891,0.017935858068918453,-0.020303398058252424,0.5161702127659574,0.3549757281553398,0.3505092869982025,0.35272836900813986,0.0,0.0,0.0,0.6281132719208461,0.6234337961395191,0.6257647858599592,0.326164384956033,0.5184227788338394
90,0.1,7734,2146,14230,0.023539344815940555,-0.030331753554502378,0.4768085106382979,0.34834123222748814,0.22255866767600302,0.2715935334872979,0.1318435754189944,0.20205479452054795,0.15956727518593644,0.6176967240797028,0.6543828264758498,0.6355107713690062,0.35555719334741354,0.47408828774929357
90,0.15,5069,6963,12078,-0.00011278195488723108,-0.08199426111908178,0.4346808510638298,0.2266857962697274,0.2816399286987522,0.25119236883942764,0.41399851079672373,0.2989247311827957,0.3471745238838589,0.4996240601503759,0.5831505046072839,0.5381656205709657,0.3788441710980841,0.42832829417534624
90,0.2,3191,11623,9296,-0.04441656210790462,-0.15155709342560555,0.4646808510638298,0.12110726643598616,0.3645833333333333,0.18181818181818182,0.5909810126582279,0.538961038961039,0.5637735849056604,0.3889585947302384,0.35714285714285715,0.37237237237237236,0.3726547130320716,0.4774740227034086
90,0.25,2156,15126,6828,-0.11962962962962964,-0.1896551724137931,0.5227659574468085,0.1206896551724138,0.5212765957446809,0.196,0.6983695652173914,0.6213357509821699,0.6576043499120422,0.2607407407407407,0.27139552814186585,0.26596146581035135,0.37318860524079783,0.5402954925563773
90,0.3,1395,17732,4983,-0.235665914221219,-0.20921052631578946,0.6327659574468085,0.1513157894736842,0.46,0.22772277227722773,0.7799016930638996,0.7613969608104505,0.7705382436260623,0.1072234762979684,0.10567296996662959,0.10644257703081232,0.3682345309780341,0.6377376525970045
90,0.4,563,20742,2805,-0.3749077490774908,-0.4,0.774468085106383,0.0,0.0,0.0,0.886252446183953,0.8591415698363766,0.8724864539434076,0.03136531365313653,0.035196687370600416,0.033170731707317075,0.3018857285502416,0.7862333701476562
90,0.5,192,22189,1729,-0.4855907780979827,-0.5,0.8491489361702128,0.0,0.0,0.0,0.9194925028835064,0.9171652093879429,0.9183273816380602,0.01440922190201729,0.014124293785310734,0.014265335235378032,0.31086423895781273,0.8502341977175177
