horizonte_dias,alvo_retorno,total_venda,total_neutro,total_compra,EV_Compra,EV_Venda,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1
15,0.03,9786,1981,13093,0.003124368048533872,-0.006837652035959809,0.4004106776180698,0.3860391327340032,0.4064587973273942,0.39598589639273124,0.12787212787212787,0.27765726681127983,0.17510259917920656,0.5520728008088979,0.417910447761194,0.4757133522108473,0.3489339492609284,0.4178546113901239
15,0.05,7275,7252,10333,-0.005111524163568772,-0.02608381502890174,0.3702258726899384,0.23916184971098267,0.2848537005163511,0.26001571091908876,0.4103734439834025,0.5726693688477128,0.47812424462170655,0.44888475836431224,0.24381625441696114,0.31599607458292445,0.35137867670790657,0.36013286453766763
15,0.07,4996,12459,7405,-0.017859237536656896,-0.05027194066749073,0.5295687885010267,0.14091470951792337,0.1792452830188679,0.15778546712802768,0.6543356022491862,0.7695788374521406,0.7072936660268714,0.3724340175953079,0.1866274797942689,0.24865394028389623,0.3712443578129318,0.5073561134117063
15,0.1,2729,17834,4297,-0.0335,-0.08578680203045685,0.7227926078028748,0.07106598984771574,0.11290322580645161,0.08722741433021806,0.8240922473012757,0.8747395833333333,0.8486609398686206,0.3325,0.170076726342711,0.22504230118443316,0.3869768851277573,0.7097481493584443
15,0.15,909,22267,1684,-0.0635593220338983,-0.13593750000000002,0.9160164271047228,0.046875,0.06666666666666667,0.05504587155963303,0.9436860068259386,0.9723076923076923,0.957783069928556,0.288135593220339,0.12363636363636364,0.17302798982188294,0.395285643770024,0.9051278705536205
15,0.2,390,23697,773,-0.175,-0.2,0.9702258726899384,0.0,0.0,0.0,0.9750257997936016,0.9951548346323994,0.9849874895746455,0.0625,0.008547008547008548,0.015037593984962405,0.33334169451986934,0.9604712549295858
15,0.25,187,24236,437,-0.25,-0.25,0.9854209445585216,0.0,0.0,0.0,0.9862309905466502,0.9991671871746824,0.9926569448753749,0.0,0.0,0.0,0.3308856482917916,0.9790002682210319
15,0.3,83,24546,231,-0.3,-0.3,0.993429158110883,0.0,0.0,0.0,0.9936331895666461,0.9997933457325894,0.9967037494849609,0.0,0.0,0.0,0.3322345831616536,0.9903592286976849
15,0.4,22,24776,62,-0.4,-0.4,0.9987679671457905,0.0,0.0,0.0,0.9987679671457905,1.0,0.9993836038627492,0.0,0.0,0.0,0.3331278679542497,0.998152330428832
15,0.5,12,24819,29,-0.5,-0.5,0.999794661190965,0.0,0.0,0.0,1.0,0.999794661190965,0.9998973200533936,0.0,0.0,0.0,0.33329910668446455,0.9998973200533937
