alvo_retorno,horizonte_dias,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1,runtime_seconds
0.01,3,0.37201225740551586,0.41533546325878595,0.4047742605085625,0.4099868593955322,0.16757599376461418,0.31946508172362553,0.2198364008179959,0.47635524798154555,0.3599128540305011,0.41002730206006455,0.3466168540911975,0.38386256057886614,25.3
0.01,4,0.41370143149284255,0.4356338717572198,0.43266893534273215,0.43414634146341463,0.096569250317662,0.20652173913043478,0.1316017316017316,0.5131067961165049,0.4288032454361055,0.46718232044198893,0.3443101311690451,0.4280312641123075,18.7
0.01,5,0.45439672801635994,0.4412037037037037,0.44741784037558685,0.4442890442890443,0.06904761904761905,0.1380952380952381,0.09206349206349207,0.5367965367965368,0.48627450980392156,0.5102880658436214,0.3488802007320526,0.4635794612618062,19.0
0.01,6,0.48302658486707567,0.453971119133574,0.461044912923923,0.4574806730331969,0.05555555555555555,0.10476190476190476,0.07260726072607261,0.5432148626817448,0.5167114867460623,0.5296318172868675,0.35323991701537905,0.4876233561006931,18.9
0.01,7,0.4886386898669396,0.45442477876106196,0.46597096188747733,0.46012544802867383,0.023076923076923078,0.05084745762711865,0.031746031746031744,0.5438877755511022,0.5175438596491229,0.5303888997459449,0.3407534598402169,0.4926651378632714,19.0
0.01,8,0.49518935516888435,0.45339721254355403,0.4708276797829037,0.46194808076325716,0.028985507246376812,0.0625,0.039603960396039604,0.546031746031746,0.5208175624526874,0.5331266950794266,0.34489291207957445,0.4976776380143459,18.6
0.01,9,0.5028688524590164,0.4573875802997859,0.4832579185520362,0.46996699669966996,0.0,0.0,0.0,0.5506555423122765,0.5228215767634855,0.5363777089783281,0.33544823522599937,0.5042140100835694,20.0
0.01,10,0.5018442622950819,0.4548581255374033,0.47873303167420816,0.46649029982363316,0.047619047619047616,0.1,0.06451612903225806,0.548756415317805,0.5225563909774437,0.5353360292701714,0.35544748604202087,0.5031931479014771,18.3
0.01,11,0.4985655737704918,0.4523809523809524,0.481447963800905,0.46646207803594913,0.0,0.0,0.0,0.5460710011966494,0.5136960600375234,0.5293890177880897,0.3319503652746796,0.5003489600132596,17.7
0.01,12,0.5044102564102564,0.4548985757444972,0.4782214156079855,0.46626852466268526,0.0,0.0,0.0,0.5507644061152489,0.5262172284644194,0.5382110706761157,0.33482653177960037,0.5055752588844692,17.2
0.01,13,0.5021538461538462,0.45241143832693126,0.48159927305770106,0.4665492957746479,0.0,0.0,0.0,0.5497029702970297,0.5190725504861631,0.5339488363146759,0.3334993773631079,0.5035188078575268,16.6
0.01,16,0.5086242299794661,0.4602224123182207,0.4875396465790666,0.47348734873487347,0.0,0.0,0.0,0.5535361517186883,0.5260983852797597,0.5394686176357335,0.3376519887902023,0.5095670446451384,16.3
0.01,17,0.5044193216855087,0.45684843280377846,0.481447963800905,0.4688257325402071,0.0,0.0,0.0,0.5483234714003945,0.5235404896421846,0.535645472061657,0.334823734867288,0.5052915924434855,16.8
0.01,18,0.5085303186022611,0.46068904593639576,0.47151898734177217,0.46604110813226096,0.0,0.0,0.0,0.550596383224317,0.5393893705239352,0.544935262757045,0.3369921236297686,0.5090639636758483,16.5
0.01,19,0.5047325102880659,0.4589810017271157,0.4796931407942238,0.46910856134157103,0.0,0.0,0.0,0.5468135326514555,0.5257186081694403,0.5360586193598149,0.335055726900462,0.5055315970206321,16.7
0.01,20,0.5109053497942386,0.46500437445319337,0.4796931407942238,0.4722345624167037,0.0,0.0,0.0,0.552099533437014,0.5370650529500757,0.5444785276073619,0.33890436334135526,0.511537657882568,17.1
0.02,3,0.44126659856996936,0.2854715378079864,0.2891566265060241,0.28730226592560926,0.5210918114143921,0.6706204379562044,0.5864751645721125,0.39464882943143814,0.22972096041531473,0.2904019688269073,0.3880597997748763,0.42224887185084625,20.7
0.02,4,0.39304703476482616,0.33459214501510576,0.31530249110320285,0.3246610480029315,0.40899711101939745,0.6002422774076317,0.48649975454099165,0.42694663167104113,0.26608505997818976,0.32784682566341955,0.3796692094024476,0.3804971258605332,19.5
0.02,5,0.3721881390593047,0.3578042328042328,0.3443666454487588,0.35095686020110284,0.3278443113772455,0.5218427323272439,0.40269690468893654,0.45269286754002913,0.30194174757281556,0.36225975538730343,0.37197117342578095,0.36903961686649256,19.3
0.02,6,0.3707566462167689,0.37667071688942894,0.3651354534746761,0.3708133971291866,0.2694610778443114,0.45685279187817257,0.3389830508474576,0.4720457433290978,0.33665609424558224,0.3930177201798466,0.3676047227188303,0.3744232232816004,20.0
0.02,7,0.3721596724667349,0.392303273980471,0.3788130892956184,0.38544018058690743,0.21458333333333332,0.40234375,0.2798913043478261,0.4847417840375587,0.35695764909248057,0.41114982578397213,0.3588271035729019,0.38102474190408103,19.5
0.02,8,0.38178096212896623,0.40348101265822783,0.4073482428115016,0.40540540540540543,0.17255892255892255,0.3451178451178451,0.23007856341189675,0.4969461410327596,0.370907583920431,0.4247745609871856,0.35341950993482923,0.3936538451750454,19.6
0.02,9,0.4045081967213115,0.41741424802110816,0.408363448631905,0.41283924843423797,0.13052415210688592,0.2803532008830022,0.17812061711079943,0.5248508946322068,0.42409638554216866,0.4691248334073745,0.3533615663174707,0.41977030716243313,19.6
0.02,10,0.4184426229508197,0.4133937562940584,0.4156962025316456,0.41454178237818734,0.10052910052910052,0.21468926553672316,0.13693693693693693,0.5355472404115996,0.448843590748726,0.48837705267647685,0.346618590663867,0.4330011387807967,20.0
0.02,11,0.43975409836065577,0.4240231548480463,0.43622828784119105,0.4300391389432485,0.061452513966480445,0.12643678160919541,0.08270676691729323,0.5436123348017621,0.4738863287250384,0.5063602790315962,0.33970206163071265,0.4521880118308065,19.4
0.02,12,0.4654358974358974,0.42641509433962266,0.4444444444444444,0.43524313914299473,0.04573170731707317,0.07425742574257425,0.05660377358490566,0.5562422744128553,0.5115574081091322,0.5329648637978681,0.3416039255085895,0.47245390417304123,28.0
0.02,13,0.4793846153846154,0.43117593436645396,0.46101364522417154,0.44559585492227977,0.02531645569620253,0.0410958904109589,0.031331592689295036,0.5666939443535188,0.5173701905117669,0.5409099785198204,0.3392791420437984,0.48552884499091575,45.5
0.02,14,0.484394250513347,0.4266848816029144,0.4552964042759961,0.4405265632346027,0.028735632183908046,0.043478260869565216,0.03460207612456748,0.5668,0.5253985910270671,0.5453146045795652,0.3401477479795784,0.488972565593886,47.0
0.02,15,0.49917864476386037,0.43496120492925605,0.4603864734299517,0.4473128373621216,0.02608695652173913,0.03614457831325301,0.030303030303030304,0.5752730109204368,0.5428781744571218,0.5586063245597425,0.34540739740829807,0.5022969422348179,50.4
0.02,16,0.5053388090349076,0.4385727190605239,0.4663784822286263,0.452048417132216,0.014285714285714285,0.014925373134328358,0.014598540145985401,0.5757927300850735,0.5472252848217567,0.5611456566798568,0.3425975379860194,0.5069856752535822,43.9
0.02,17,0.5149023638232272,0.44716897012929113,0.4801340354236477,0.4630655586334257,0.0,0.0,0.0,0.5837543723280217,0.5522058823529412,0.5675420366521822,0.34353586509520256,0.5161476447439182,47.0
0.02,18,0.5109969167523124,0.4417989417989418,0.47782546494992845,0.45910652920962197,0.0,0.0,0.0,0.5805946791862285,0.5445871559633028,0.5620147699299375,0.34037376637985317,0.5126899567958185,43.0
