horizonte_dias,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1
3,0.610214504596527,0.19710906701708278,0.234375,0.21413276231263384,0.7443213296398892,0.8030484160191274,0.7725704427832087,0.2862595419847328,0.16501650165016502,0.209351011863224,0.39868473898635554,0.5949674645998718
4,0.5247443762781187,0.22149837133550487,0.2408500590318772,0.23076923076923078,0.64846830451926,0.7538787023977433,0.6972118049894016,0.3333333333333333,0.1855840927920464,0.23842469398616284,0.3888019099149318,0.5031764464320614
5,0.46319018404907975,0.2596425211665099,0.26796116504854367,0.26373626373626374,0.5682281059063137,0.6914498141263941,0.6238121855785355,0.35754824063564133,0.21890201528839473,0.27155172413793105,0.3863667244842434,0.44430686788721246
6,0.4245398773006135,0.2864363942712721,0.2918454935622318,0.2891156462585034,0.5050505050505051,0.6518590053114437,0.5691399662731872,0.37475728155339805,0.23337363966142685,0.28763040238450077,0.3819620049720638,0.40720844245130705
7,0.38853633572159674,0.29273661041819515,0.30978260869565216,0.3010184835910977,0.43598468736707785,0.5774647887323944,0.4968492486669898,0.40478223740392827,0.2601536772777168,0.31673905780153694,0.37153559668654146,0.3780384414664567
8,0.37461617195496416,0.3196159122085048,0.33597692862292716,0.32759226713532513,0.3827977315689981,0.5290659699542782,0.4442007129147244,0.4225781845919146,0.28164717844433146,0.33801098230628435,0.369934654118778,0.368333545176172
9,0.36721311475409835,0.32459016393442625,0.33650577838205303,0.33044058744993327,0.334855403348554,0.5026656511805027,0.40194884287454324,0.4602601156069364,0.303912213740458,0.3660919540229885,0.366160461449155,0.36499296525928504
10,0.3620901639344262,0.33663980161190327,0.3503225806451613,0.3433449257034461,0.28806133625410735,0.472596585804133,0.35794487921061585,0.48438584316446914,0.31483987370320254,0.3816293056314926,0.36097303684851817,0.3640675114727
11,0.35532786885245904,0.34517465956187093,0.3636930754834685,0.35419198055893075,0.24397590361445784,0.421875,0.30916030534351147,0.48726322664924887,0.32196806214933105,0.3877338877338877,0.35036205787877667,0.36125882291908906
12,0.3731282051282051,0.36279607163489314,0.3767246550689862,0.3696291936433196,0.21540558963871848,0.39060568603213847,0.27768014059753954,0.5217650566487776,0.36473530637765733,0.429342492639843,0.3588839422935674,0.383755433720986
13,0.36943589743589744,0.3623426382047072,0.38443670150987225,0.37306283460129613,0.16908951798010713,0.3323308270676692,0.22413793103448276,0.527283170591614,0.36897106109324757,0.43414518798770396,0.34378198454116093,0.383921877545594
14,0.3885010266940452,0.37702265372168287,0.39625850340136054,0.3864013266998342,0.14631956912028726,0.29908256880733947,0.19650391802290537,0.5415352260778128,0.4021866458414682,0.46157293300470537,0.348159392575815,0.40468066879795506
15,0.40143737166324434,0.385918475383801,0.405902004454343,0.39565807327001357,0.12890231621349446,0.27765726681127983,0.17606602475928473,0.5523138832997988,0.42020665901262916,0.4772875461856118,0.3496705480716367,0.418669547266936
16,0.41211498973305954,0.3845758354755784,0.4087431693989071,0.3962913907284768,0.10037174721189591,0.20930232558139536,0.135678391959799,0.5561850802644004,0.4440256313607237,0.49381680989310417,0.34192886419379337,0.4287098109585134
17,0.4398766700924974,0.40041386445938953,0.4170258620689655,0.4085510688836104,0.08902077151335312,0.18633540372670807,0.12048192771084337,0.5783879539415412,0.48604391514700407,0.5282103134479272,0.3524144366807937,0.4555739109569277
18,0.4489208633093525,0.39579158316633267,0.4215581643543223,0.4082687338501292,0.07692307692307693,0.1474820143884892,0.10110974106041924,0.579195205479452,0.49870991522300034,0.5359477124183006,0.3484420624429497,0.461917833307459
19,0.4594650205761317,0.39890164752870694,0.42275132275132277,0.4104803493449782,0.0728051391862955,0.14655172413793102,0.09728183118741059,0.5857740585774058,0.5113221329437546,0.5460218408736349,0.3512613404686746,0.47188992703899185
20,0.4726337448559671,0.41284860557768926,0.43425877422734416,0.4232831248404391,0.045112781954887216,0.09278350515463918,0.06070826306913996,0.591112922951488,0.5259339862169025,0.5566218809980806,0.3468710896358866,0.4844509082854979
